,address,age,apartments,assessmentpass,attic,basement,buildingassessedvalue,buildingassessedvaluepreviousyear,buildingsqft,centralair,city,classification,combinedassessedvalue,combinedassessedvaluepreviousyear,description,exteriorconstruction,fireplaces,fullbaths,garage,halfbaths,landassessedvalue,landassessedvaluepreviousyear,landsqft,marketvalue,marketvaluepreviousyear,neighborhood,pin,residencetype,taxcode,township,use,year
0,1234 EDMER AVE ,88,0,Board Certified,Full and Living Area,Full and Unfinished,"30,122","30,122","1,534",No,OAK PARK,203,"36,650","36,650","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,1,"6,528","6,528","5,440","$366,500","$366,500",10,16-05-100-013-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1230 EDMER AVE ,91,0,Board Certified,Full and Unfinished,Full and Unfinished,"31,987","31,987","1,765",No,OAK PARK,203,"38,515","38,515","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,0,"6,528","6,528","5,440","$385,150","$385,150",10,16-05-100-014-0000,One Story,27001,Oak Park,Single Family,2018
0,1226 EDMER AVE ,89,0,Board Certified,Partial and Living Area,Full and Unfinished,"46,926","46,926","2,900",No,OAK PARK,204,"53,454","53,454","One story residence, any age, 1,801 square feet and over",Frame/Masonry,0,2,0,1,"6,528","6,528","5,440","$534,540","$534,540",10,16-05-100-015-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1222 EDMER AVE ,91,0,Board Certified,Partial and Living Area,Full and Unfinished,"38,503","38,503","1,813",Yes,OAK PARK,204,"45,031","45,031","One story residence, any age, 1,801 square feet and over",Masonry,0,2,0,1,"6,528","6,528","5,440","$450,310","$450,310",10,16-05-100-016-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1220 EDMER AVE ,91,0,Board Certified,Partial and Living Area,Partial and Rec Room,"35,717","35,717","2,191",Yes,OAK PARK,204,"42,197","42,197","One story residence, any age, 1,801 square feet and over",Masonry,0,2,0,1,"6,480","6,480","5,400","$421,970","$421,970",10,16-05-100-017-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1216 EDMER AVE ,91,0,Board Certified,Full and Living Area,Full and Unfinished,"39,770","39,770","2,236",Yes,OAK PARK,204,"46,250","46,250","One story residence, any age, 1,801 square feet and over",Masonry,1,1,1,0,"6,480","6,480","5,400","$462,500","$462,500",10,16-05-100-018-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1212 EDMER AVE ,91,0,Board Certified,Full and Living Area,Full and Unfinished,"32,725","32,725","1,806",No,OAK PARK,204,"39,157","39,157","One story residence, any age, 1,801 square feet and over",Masonry,0,2,0,0,"6,432","6,432","5,360","$391,570","$391,570",10,16-05-100-019-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1210 EDMER AVE ,90,0,Board Certified,Full and Living Area,Full and Rec Room,"34,022","40,265","2,228",No,OAK PARK,204,"40,454","46,697","One story residence, any age, 1,801 square feet and over",Masonry,0,1,0,1,"6,432","6,432","5,360","$404,540","$466,970",10,16-05-100-020-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1206 EDMER AVE ,91,0,Board Certified,Partial and Living Area,None,"41,919","54,434","2,881",No,OAK PARK,204,"48,351","60,866","One story residence, any age, 1,801 square feet and over",Masonry,0,2,0,1,"6,432","6,432","5,360","$483,510","$608,660",10,16-05-100-021-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1204 EDMER AVE ,91,0,Board Certified,None,None,"38,437","39,758","2,038",No,OAK PARK,205,"44,821","46,142","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Frame/Masonry,1,1,1,1,"6,384","6,384","5,320","$448,210","$461,420",10,16-05-100-022-0000,Two Story,27001,Oak Park,Single Family,2018
0,1200 EDMER AVE ,91,0,Board Certified,None,Full and Unfinished,"53,542","53,542","3,144",No,OAK PARK,206,"60,314","60,314","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Masonry,1,3,1,1,"6,772","6,772","5,644","$603,140","$603,140",10,16-05-100-023-0000,Two Story,27001,Oak Park,Single Family,2018
0,1235 N RIDGELAND AVE ,91,0,Board Certified,Full and Unfinished,Full and Rec Room,"34,598","34,598","1,911",No,OAK PARK,204,"41,798","41,798","One story residence, any age, 1,801 square feet and over",Masonry,0,1,0,1,"7,200","7,200","6,000","$417,980","$417,980",10,16-05-100-024-0000,One Story,27001,Oak Park,Single Family,2018
0,1231 N RIDGELAND AVE ,87,0,Board Certified,Full and Living Area,Full and Unfinished,"34,838","34,838","2,292",Yes,OAK PARK,204,"42,038","42,038","One story residence, any age, 1,801 square feet and over",Masonry,1,2,1,1,"7,200","7,200","6,000","$420,380","$420,380",10,16-05-100-025-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1227 N RIDGELAND AVE ,91,0,Board Certified,None,Full and Unfinished,"44,641","44,641","2,167",Yes,OAK PARK,205,"51,841","51,841","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Masonry,0,1,0,1,"7,200","7,200","6,000","$518,410","$518,410",10,16-05-100-026-0000,Two Story,27001,Oak Park,Single Family,2018
0,1225 N RIDGELAND AVE ,92,0,Board Certified,None,Full and Unfinished,"40,832","46,638","2,246",Yes,OAK PARK,206,"48,032","53,838","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Frame,1,2,1,0,"7,200","7,200","6,000","$480,320","$538,380",10,16-05-100-027-0000,Two Story,27001,Oak Park,Single Family,2018
0,1221 N RIDGELAND AVE ,92,0,Board Certified,None,Full and Unfinished,"31,290","34,170","1,490",No,OAK PARK,205,"38,490","41,370","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Frame/Masonry,1,1,1,0,"7,200","7,200","6,000","$384,900","$413,700",10,16-05-100-028-0000,Two Story,27001,Oak Park,Single Family,2018
0,1217 N RIDGELAND AVE ,92,0,Board Certified,None,Full and Unfinished,"40,847","40,847","2,417",No,OAK PARK,206,"48,047","48,047","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Masonry,1,2,1,0,"7,200","7,200","6,000","$480,470","$480,470",10,16-05-100-029-0000,Two Story,27001,Oak Park,Single Family,2018
