,taxbill2018,taxbill2017,taxbill2016,taxbill2015,taxbill2014,estimatedvalue,assessedvalue,lotsize,buildingsize,class,taxcode,address,city,zip,township,pin
0,"$6,610.04<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$12,018.25","$12,106.67","$10,802.01","$10,055.91","$366,500","36,650","5,440","1,534",2-03,27001,1234  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-013-0000
0,"$6,980.50<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$12,691.81","$13,043.96","$11,641.91","$10,836.34","$385,150","38,515","5,440","1,765",2-03,27001,1230  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-014-0000
0,"$9,948.15<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$18,087.54","$19,884.97","$17,771.32","$16,532.09","$534,540","53,454","5,440","2,900",2-04,27001,1226  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-015-0000
0,"$8,274.90<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$15,045.28","$15,927.76","$14,225.65","$13,237.38","$450,310","45,031","5,440","1,813",2-04,27001,1222  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-016-0000
0,"$6,266.81<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$11,394.20","$14,281.04","$13,393.46","$12,463.96","$421,970","42,197","5,400","2,191",2-04,27001,1220  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-017-0000
0,"$7,980.69<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$14,510.34","$16,152.18","$14,394.17","$13,407.07","$462,500","46,250","5,400","2,236",2-04,27001,1216  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-018-0000
0,"$6,571.62<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$11,948.40","$12,791.40","$11,382.98","$10,608.99","$391,570","39,157","5,360","1,806",2-04,27001,1212  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-019-0000
0,"$8,069.46<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$14,671.75","$17,224.72","$15,355.28","$14,300.13","$466,970","46,697","5,360","2,228",2-04,27001,1210  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-020-0000
0,"$11,420.58<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$20,764.69","$18,913.51","$16,900.74","$15,723.14","$608,660","60,866","5,360","2,881",2-04,27001,1206  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-021-0000
0,"$7,959.23<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$14,471.33","$14,214.13","$12,657.89","$11,793.59","$461,420","46,142","5,320","2,038",2-05,27001,1204  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-022-0000
