,address,assessedvalue,buildingsize,city,class,estimatedvalue,homeownerexemption,lotsize,pin,seniorcitizenexemption,seniorfreezeexemption,taxafterexemptions,taxbeforeexemptions,taxbill2014,taxbill2015,taxbill2016,taxbill2017,taxbill2018,taxcode,township,zip
0,1234  EDMER AVE,"36,650","1,534",OAK PARK,2-03,"$366,500","1,268.60","5,440",16-05-100-013-0000,0.00,0.00,"12,265.33","13,533.93","$10,055.91","$10,802.01","$12,106.67","$12,018.25","$12,265.33",27001,OAK PARK,60302
0,1230  EDMER AVE,"38,515","1,765",OAK PARK,2-03,"$385,150","1,268.60","5,440",16-05-100-014-0000,0.00,0.00,"12,954.06","14,222.66","$10,836.34","$11,641.91","$13,043.96","$12,691.81","$12,954.06",27001,OAK PARK,60302
0,1226  EDMER AVE,"53,454","2,900",OAK PARK,2-04,"$534,540","1,268.60","5,440",16-05-100-015-0000,0.00,0.00,"18,470.69","19,739.29","$16,532.09","$17,771.32","$19,884.97","$18,087.54","$18,470.69",27001,OAK PARK,60302
0,1222  EDMER AVE,"45,031","1,813",OAK PARK,2-04,"$450,310","1,268.60","5,440",16-05-100-016-0000,0.00,0.00,"15,360.34","16,628.94","$13,237.38","$14,225.65","$15,927.76","$15,045.28","$15,360.34",27001,OAK PARK,60302
0,1220  EDMER AVE,"42,197","2,191",OAK PARK,2-04,"$421,970","1,268.60","5,400",16-05-100-017-0000,"1,014.88","1,442.02","11,856.84","15,582.34","$12,463.96","$13,393.46","$14,281.04","$11,394.20","$11,856.84",27001,OAK PARK,60302
0,1216  EDMER AVE,"46,250","2,236",OAK PARK,2-04,"$462,500","1,268.60","5,400",16-05-100-018-0000,"1,014.88",0.00,"14,795.55","17,079.03","$13,407.07","$14,394.17","$16,152.18","$14,510.34","$14,795.55",27001,OAK PARK,60302
0,1212  EDMER AVE,"30,612","1,806",OAK PARK,2-04,"$306,120","1,268.60","5,360",16-05-100-019-0000,"1,014.88",0.00,"12,176.28","14,459.76","$10,608.99","$11,382.98","$12,791.40","$11,948.40","$12,176.28",27001,OAK PARK,60302
0,1210  EDMER AVE,"40,454","2,228",OAK PARK,2-04,"$404,540","1,268.60","5,360",16-05-100-020-0000,"1,014.88",0.00,"12,655.30","14,938.78","$14,300.13","$15,355.28","$17,224.72","$14,671.75","$12,655.30",27001,OAK PARK,60302
0,1206  EDMER AVE,"48,351","2,881",OAK PARK,2-04,"$483,510","1,268.60","5,360",16-05-100-021-0000,0.00,0.00,"16,586.31","17,854.91","$15,723.14","$16,900.74","$18,913.51","$20,764.69","$16,586.31",27001,OAK PARK,60302
0,1204  EDMER AVE,"44,821","2,038",OAK PARK,2-05,"$448,210",0.00,"5,320",16-05-100-022-0000,0.00,0.00,"16,551.30","16,551.30","$11,793.59","$12,657.89","$14,214.13","$14,471.33","$16,551.30",27001,OAK PARK,60302
0,1200  EDMER AVE,"60,314","3,144",OAK PARK,2-06,"$603,140","1,268.60","5,644",16-05-100-023-0000,0.00,0.00,"21,003.96","22,272.56","$16,770.76","$18,028.08","$20,171.55","$20,565.24","$21,003.96",27001,OAK PARK,60302
0,1235 N RIDGELAND AVE,"41,798","1,911",OAK PARK,2-04,"$417,980",0.00,"6,000",16-05-100-024-0000,0.00,0.00,"15,435.06","15,435.06","$13,338.09","$14,353.76","$16,020.08","$15,096.72","$15,435.06",27001,OAK PARK,60302
0,1231 N RIDGELAND AVE,"42,038","2,292",OAK PARK,2-04,"$420,380","1,268.60","6,000",16-05-100-025-0000,0.00,0.00,"14,255.00","15,523.60","$11,211.37","$12,045.43","$13,494.37","$13,964.30","$14,255.00",27001,OAK PARK,60302
0,1227 N RIDGELAND AVE,"51,841","2,167",OAK PARK,2-05,"$518,410",0.00,"6,000",16-05-100-026-0000,0.00,0.00,"19,143.68","19,143.68","$12,225.54","$13,122.63","$16,455.99","$18,724.03","$19,143.68",27001,OAK PARK,60302
0,1225 N RIDGELAND AVE,"48,032","2,246",OAK PARK,2-06,"$480,320","1,268.60","6,000",16-05-100-027-0000,"1,014.88",0.00,"15,453.58","17,737.06","$14,554.41","$14,241.59","$15,945.56","$17,251.00","$15,453.58",27001,OAK PARK,60302
0,1221 N RIDGELAND AVE,"38,490","1,490",OAK PARK,2-05,"$384,900","1,268.60","6,000",16-05-100-028-0000,0.00,0.00,"12,944.92","14,213.52","$10,178.87","$10,934.31","$12,254.41","$13,723.04","$12,944.92",27001,OAK PARK,60302
0,1217 N RIDGELAND AVE,"48,047","2,417",OAK PARK,2-06,"$480,470","1,268.60","6,000",16-05-100-029-0000,0.00,0.00,"16,474.04","17,742.64","$15,185.07","$16,321.67","$18,267.11","$16,134.67","$16,474.04",27001,OAK PARK,60302
0,1213 N RIDGELAND AVE,"46,347","2,088",OAK PARK,2-05,"$463,470","1,268.60","6,000",16-05-100-030-0000,"1,014.88",0.00,"14,831.33","17,114.81","$12,569.95","$12,663.97","$14,221.02","$15,206.32","$14,831.33",27001,OAK PARK,60302
0,1201 N RIDGELAND AVE,"57,215","2,444",OAK PARK,2-06,"$572,150","1,268.60","6,366",16-05-100-034-0000,0.00,0.00,"19,859.55","21,128.15","$16,306.22","$16,191.80","$18,122.09","$19,445.99","$19,859.55",27001,OAK PARK,60302
0,1211 N RIDGELAND AVE,"51,137","2,132",OAK PARK,2-05,"$511,370","1,268.60","9,000",16-05-100-035-0000,0.00,0.00,"17,615.15","18,883.75","$13,716.31","$14,741.07","$16,502.94","$17,250.75","$17,615.15",27001,OAK PARK,60302
0,1205 N RIDGELAND AVE,"69,915","3,394",OAK PARK,2-06,"$699,150","1,268.60","9,000",16-05-100-036-0000,0.00,0.00,"24,549.44","25,818.04","$19,812.42","$21,301.44","$23,824.95","$24,032.97","$24,549.44",27001,OAK PARK,60302
0,6323  NORTH AVE,"190,986",,OAK PARK,5-17,,0.00,"20,887",16-05-100-038-0000,0.00,0.00,"70,526.68","70,526.68","$65,951.93","$72,115.57","$83,413.09","$68,980.82","$70,526.68",27001,OAK PARK,60302
0,6315  NORTH AVE,"212,903",,OAK PARK,5-17,,0.00,"25,137",16-05-100-039-0000,0.00,0.00,"78,620.09","78,620.09","$68,146.89","$74,303.76","$85,824.37","$76,896.93","$78,620.09",27001,OAK PARK,60302
0,6249  NORTH AVE,"91,827",,OAK PARK,5-22,,0.00,"13,500",16-05-101-001-0000,0.00,0.00,"33,909.55","33,909.55","$29,048.44","$31,260.45","$34,889.22","$33,166.35","$33,909.55",27001,OAK PARK,60302
0,6211  NORTH AVE,0,,OAK PARK,0,,,0,16-05-101-002-0000,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,27001,OAK PARK,60302
0,6235  NORTH AVE,0,,OAK PARK,0,,,0,16-05-101-003-0000,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,27001,OAK PARK,60302
0,6235  NORTH AVE,0,,OAK PARK,0,,,0,16-05-101-004-0000,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,27001,OAK PARK,60302
0,6205  NORTH AVE,0,,OAK PARK,0,,,0,16-05-101-005-0000,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,27001,OAK PARK,60302
