,pin,marketvalue,marketvaluepreviousyear,address,city,township,classification,landsqft,neighborhood,taxcode,landassessedvalue,buildingassessedvalue,combinedassessedvalue,description,residencetype,use,exteriorconstruction,fullbaths,halfbaths,basement,attic,centralair,fireplaces,garage,age,buildingsqft,assessmentpass
0,16053260380000,"$879,000","$700,950",2 CHICAGO AVE,"OAK PARK, IL",Oak Park,212,"15,816",30,27001,"$17,793","$70,107","$87,900","Two to six apartments, up to 62 years",Two Story,Multi Family,Masonry,5,0,Partial and Unfinished,None,Yes,0,None,119,"6,434",2020
0,16062220060000,"$612,380","$487,600",455 GREENFIELD ST,"OAK PARK, IL",Oak Park,206,"7,100",10,27001,"$9,407","$51,831","$61,238","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,Masonry,2,1,Full and Rec Room,Full and Unfinished,No,1,2 car detached,94,"2,276",2020
0,16062260220000,"$742,090","$643,750",909 COLUMBIAN AVE,"OAK PARK, IL",Oak Park,206,"9,300",10,27001,"$12,322","$61,887","$74,209","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,Masonry,3,0,Full and Rec Room,Full and Unfinished,Yes,2,2 car detached,94,"3,768",2020
0,16063020130000,"$423,090","$320,390",804 BELLEFORTE AVE,"OAK PARK, IL",Oak Park,204,"6,419",20,27001,"$7,221","$35,088","$42,309","One story residence, any age, 1,801 square feet and over",1.5 to 1.9 Stories,Single Family,Frame,3,0,Full and Rec Room,Full and Living Area,Yes,0,2 car detached,129,"2,144",2020
0,16063090020000,"$710,570","$589,870",738 BELLEFORTE AVE,"OAK PARK, IL",Oak Park,206,"9,222",20,27001,"$10,374","$60,683","$71,057","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,Frame,2,0,Full and Unfinished,Partial and Living Area,No,0,2 car detached,134,"3,481",2020
0,16063180580000,"$361,000","$271,200",622 N MARION ST,"OAK PARK, IL",Oak Park,205,"7,471",20,27001,"$8,404","$27,696","$36,100","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Frame,1,0,Full and Unfinished,None,No,0,2 car detached,97,"1,616",2020
0,16064200190000,"$584,000","$784,610",521 LINDEN AVE,"OAK PARK, IL",Oak Park,206,"17,497",70,27001,"$18,371","$40,029","$58,400","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,Stucco,4,1,Partial and Rec Room,Partial and Unfinished,Yes,1,2.5 car detached,109,"3,447",2020
0,16071000281001,"$653,840","$652,910",1133 CHICAGO AVE Unit 2N,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$831,"$64,553","$65,384",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281002,"$629,920","$629,020",1133 CHICAGO AVE Unit 2E,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$801,"$62,191","$62,992",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281003,"$645,870","$672,630",1133 CHICAGO AVE Unit 2W,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$821,"$63,766","$64,587",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281004,"$677,760","$676,800",1133 CHICAGO AVE Unit 3N,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$861,"$66,915","$67,776",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281005,"$629,920","$629,040",1133 CHICAGO AVE Unit 3E,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$801,"$62,191","$62,992",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281006,"$653,840","$721,700",1133 CHICAGO AVE Unit 3W,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$831,"$64,553","$65,384",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281007,"$685,740","$684,760",1133 CHICAGO AVE Unit 4N,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$872,"$67,702","$68,574",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281008,"$669,780","$668,830",1133 CHICAGO AVE Unit 4E,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$851,"$66,127","$66,978",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281009,"$669,780","$668,840",1133 CHICAGO AVE Unit 4W,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$851,"$66,127","$66,978",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281010,"$765,470","$764,380",1133 CHICAGO AVE Unit 5E,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$973,"$75,574","$76,547",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281011,"$765,470","$764,380",1133 CHICAGO AVE Unit 5W,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$973,"$75,574","$76,547",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281012,"$23,910","$23,880",1133 CHICAGO AVE Unit P-1,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281013,"$23,910","$23,880",1133 CHICAGO AVE Unit P-2,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281014,"$23,910","$23,880",1133 CHICAGO AVE Unit P-3,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281015,"$23,910","$23,880",1133 CHICAGO AVE Unit P-4,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281016,"$23,910","$26,320",1133 CHICAGO AVE Unit P-5,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281017,"$23,910","$23,880",1133 CHICAGO AVE Unit P-6,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281018,"$23,910","$23,880",1133 CHICAGO AVE Unit P-7,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281019,"$23,910","$23,880",1133 CHICAGO AVE Unit P-8,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281020,"$23,910","$23,880",1133 CHICAGO AVE Unit P-9,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281021,"$23,910","$23,880",1133 CHICAGO AVE Unit P-10,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281022,"$23,910","$23,880",1133 CHICAGO AVE Unit P-11,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281023,"$23,910","$26,320",1133 CHICAGO AVE Unit P-12,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281024,"$23,910","$23,880",1133 CHICAGO AVE Unit P-13,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281025,"$23,910","$23,880",1133 CHICAGO AVE Unit P-14,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281026,"$23,910","$23,880",1133 CHICAGO AVE Unit P-15,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281027,"$23,910","$23,880",1133 CHICAGO AVE Unit P-16,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281028,"$23,910","$23,880",1133 CHICAGO AVE Unit P-17,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281029,"$23,910","$23,880",1133 CHICAGO AVE Unit P-18,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281030,"$23,910","$23,880",1133 CHICAGO AVE Unit P-19,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281031,"$23,910","$23,880",1133 CHICAGO AVE Unit P-20,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281032,"$23,910","$23,880",1133 CHICAGO AVE Unit P-21,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071000281033,"$23,910","$23,880",1133 CHICAGO AVE Unit P-22,"OAK PARK, IL",Oak Park,299,"9,014",20,27001,$30,"$2,361","$2,391",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16071220181025,"$326,230","$346,590",169 N GROVE AVE Unit 6B-C,"OAK PARK, IL",Oak Park,299,"12,750",20,27001,"$1,110","$31,513","$32,623",Residential condominium,,,,0,0,None,None,No,0,None,54,**,2020
0,16072180321001,"$951,910","$915,410",147 N EUCLID AVE Unit 201,"OAK PARK, IL",Oak Park,299,"20,595",20,27001,$972,"$94,219","$95,191",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
0,16072180321002,"$852,100","$819,430",147 N EUCLID AVE Unit 202,"OAK PARK, IL",Oak Park,299,"20,595",20,27001,$870,"$84,340","$85,210",Residential condominium,,,,0,0,None,None,No,0,None,4,**,2020
