PIN,Property Class,Neighborhood Code,Land Square Feet,Town Code,Type of Residence,Apartments,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Central Heating,Other Heating,Central Air,Fireplaces,Attic Type,Attic Finish,Half Baths,Design Plan,Cathedral Ceiling,Construction Quality,Renovation,Site Desirability,Garage 1 Size,Garage 1 Material,Garage 1 Attachment,Garage 1 Area,Garage 2 Size,Garage 2 Material,Garage 2 Attachment,Garage 2 Area,Porch,Other Improvements,Building Square Feet,Repair Condition,Multi Code,Number of Commercial Units,Estimate (Land),Estimate (Building),Sale Date,Deed No.,Sale Price,Longitude,Latitude,Census Tract,Total Building Square Feet,Multi Property Indicator,Property Address,Modeling Group,Full Baths,Age,Use,Number of Units,Percent Ownership,Condo Class Factor,Multi-Family Indicator,Large Lot,"Condition, Desirability and Utility",Location Factor,O'Hare Noise,Floodplain,Road Proximity,Condo Strata,Sale Year,Sale Quarter,Sale Half-Year,Sale Quarter of Year,Sale Month of Year,Sale Half of Year,Most Recent Sale,Age Squared,Age Decade,Age Decade Squared,Lot Size Squared,Improvement Size Squared,Pure Market Filter,Garage Indicator,Neigborhood Code (mapping),Square root of lot size,Square root of age,Square root of improvement size,Town and Neighborhood,"Town and Neighborhood, SF Group Only"
16184290180000,203,60,3780,27,1,0,4,1,6,3,1,3,1,5,0,0,2,3,1,2,2,2,,2,0,0,0,0,7,0,0,0,3,0,1172,2,3,0,35910,197150,09/09/2019,1925255212,1,-87.78436,41.86682,813100,,0,1155 S RIDGELAND AVE,SF,1,96,1,,,,,,,0.7925779,0,0,1,,2019,91,46,3,9,2,1,9216,9.6,92.16,14288400,1373584,0,0,60,61.4817,9.797959,34.23449,2760,
16184290140000,203,60,3780,27,1,0,4,1,6,3,1,3,1,5,1,0,2,3,1,2,2,2,,2,3,1,2,2,7,0,0,0,1,0,1173,2,2,0,35910,208030,06/11/2019,1916216021,1,-87.78485,41.86591,813100,,0,1180 S ELMWOOD AVE,SF,1,97,1,,,,,,,0.8185705,0,0,0,,2019,90,45,2,6,1,1,9409,9.7,94.09,14288400,1375929,0,1,60,61.4817,9.848858,34.24909,2760,
16184280431099,299,60,41960,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,790,13650,07/10/2019,1919122020,1,-87.7858,41.86555,813100,,0,6436  ROOSEVELT RD,NCHARS,,10,1,126,0.00,299,,,,0.8182336,0,0,1,5,2019,91,46,3,7,2,1,100,1,1,1760641600,,0,,60,204.8414,3.162278,,2760,
16184270330000,202,60,3150,27,1,0,1,1,4,2,3,3,1,5,0,0,2,3,0,2,2,2,,2,3,1,2,2,7,0,0,0,1,0,910,2,2,0,29920,175380,06/11/2019,1916241071,287000,-87.78678,41.86592,813100,,0,1181  GUNDERSON AVE,SF,1,94,1,,,,,,,0.8312139,0,0,0,,2019,90,45,2,6,1,1,8836,9.4,88.36,9922500,828100,1,1,60,56.12486,9.69536,30.16621,2760,2
16184270220000,205,60,3150,27,2,0,1,1,8,4,1,3,1,5,1,0,2,3,2,2,2,2,,2,3,1,2,2,7,0,0,0,3,0,1330,2,2,0,29920,289410,03/13/2019,1907242037,385000,-87.78681,41.86675,813100,,0,1157  GUNDERSON AVE,SF,1,94,1,,,,,,,0.8524685,0,0,0,,2019,89,45,1,3,1,1,8836,9.4,88.36,9922500,1768900,1,1,60,56.12486,9.69536,36.46917,2760,3
16184270160000,205,60,3150,27,2,0,2,1,7,3,1,3,2,5,0,0,3,,0,0,0,2,,2,3,1,2,2,7,0,0,0,3,0,1124,2,2,0,29920,300400,02/22/2019,1905322055,144375,-87.7873,41.86591,813100,,0,1180 S SCOVILLE AVE,SF,2,105,1,,,,,,,0.8609908,0,0,0,,2019,89,45,1,2,1,1,11025,10.5,110.25,9922500,1263376,1,1,60,56.12486,10.24695,33.52611,2760,1
16184250450000,295,60,1300,27,3,0,2,2,7,3,2,3,1,5,1,0,3,,0,2,2,2,,2,3,2,1,1,7,0,0,0,3,0,2397,2,2,0,12350,306280,09/23/2019,1926649100,181500,-87.78978,41.86557,813200,,0,1192  CLARENCE AVE,SF,3,13,1,,,,,,,0.8243365,0,0,1,,2019,91,46,3,9,2,1,169,1.3,1.69,1690000,5745609,1,1,60,36.05551,3.605551,48.95917,2760,2
16184250440000,295,60,1300,27,3,0,2,2,7,3,2,3,1,5,1,0,3,,0,2,2,2,,2,3,2,1,1,7,0,0,0,3,0,2720,2,2,0,12350,349220,02/26/2019,1905706126,391000,-87.78985,41.86557,813200,,0,1192  CLARENCE AVE,SF,3,13,1,,,,,,,0.8755303,0,0,1,,2019,89,45,1,2,1,1,169,1.3,1.69,1690000,7398400,1,1,60,36.05551,3.605551,52.15362,2760,3
16184250240000,204,60,3906,27,5,0,2,1,6,4,1,3,1,5,1,0,2,1,1,2,2,2,,2,3,1,2,2,7,0,0,0,1,0,1922,2,2,0,37100,290990,05/03/2019,1912313025,1,-87.78925,41.86623,813200,,0,1171 S EAST AVE,SF,2,94,1,,,,,,,0.8553259,0,0,0,,2019,90,45,2,5,1,1,8836,9.4,88.36,15256836,3694084,0,1,60,62.498,9.69536,43.84062,2760,
16184250080000,205,60,3150,27,2,0,4,1,5,3,1,3,1,5,1,0,3,,1,2,2,2,,2,3,1,2,2,7,0,0,0,3,0,1222,2,2,0,29920,238290,06/17/2019,1916845040,1,-87.78977,41.86635,813200,,0,1166  CLARENCE AVE,SF,1,94,1,,,,,,,0.8472735,0,0,0,,2019,90,45,2,6,1,1,8836,9.4,88.36,9922500,1493284,0,1,60,56.12486,9.69536,34.95712,2760,
16184240080000,205,60,3150,27,2,0,1,1,8,4,1,3,1,5,0,0,2,3,1,2,2,2,,2,3,1,2,2,7,0,0,0,3,0,1440,2,2,0,29920,275330,04/29/2019,1911945024,1,-87.791,41.86633,813200,,0,1166  WESLEY AVE,SF,1,94,1,,,,,,,0.865931,0,0,0,,2019,90,45,2,4,1,1,8836,9.4,88.36,9922500,2073600,0,1,60,56.12486,9.69536,37.94733,2760,
16184220230000,205,60,3538,27,2,0,1,1,6,3,1,3,1,5,1,0,1,3,1,2,2,2,,2,3,1,2,2,7,0,0,0,3,0,1369,2,2,0,33610,322420,04/29/2019,1911913118,375000,-87.79291,41.8659,813200,,0,1179 S EUCLID AVE,SF,1,104,1,,,,,,,0.8761038,0,0,0,,2019,90,45,2,4,1,1,10816,10.4,108.16,12517444,1874161,1,1,60,59.48109,10.19804,37,2760,3
