classification,Unnamed: 0,marketvalue,marketvaluepreviousyear,landsqft,neighborhood,taxcode,landassessedvalue,buildingassessedvalue,combinedassessedvalue,fullbaths,halfbaths,fireplaces,age,buildingsqft,assessmentpass,class,tax_year,nbhd,hd_sf,town_code,type_resd,apts,ext_wall,roof_cnst,rooms,beds,bsmt,bsmt_fin,heat,oheat,air,frpl,attic_type,attic_fnsh,hbath,tp_plan,tp_dsgn,cnst_qlty,renovation,site,gar1_size,gar1_cnst,gar1_att,gar1_area,gar2_size,gar2_cnst,gar2_att,gar2_area,porch,ot_impr,bldg_sf,repair_cnd,multi_code,ncu,pri_est_land,pri_est_bldg,doc_no,most_recent_sale_price,centroid_x,centroid_y,tractce,total_bldg_sf,multi_ind,fbath,age2,use_1,n_units,per_ass,condo_class_factor,multi_family_ind,large_lot,o_hare_noise,floodplain,near_major_road,total_units,condo_strata,age_squared,age_decade,age_decade_squared,lot_size_squared,improvement_size_squared,location_factor,garage_indicator,residential_share_of_building,pure_market_sale,pure_market_filter,neigborhood_code_mapping_,square_root_of_lot_size,square_root_of_age,square_root_of_improvement_size,town_and_neighborhood,multiplier,eavpreviousyear,combinedassessedvalueprevyear,homeownerexemption,estimatedtaxpreviousyear,estimatednewtax,assessmentpersqft
0,0,0.0,0.0,0.0,53683,16255056,0.0,0.0,0.0,0.0,0.0,0.0,-602.0,0.0,1216031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
100,0,3652380.0,3978620.0,9750846.0,3101,1917196,365238.0,0.0,365238.0,0.0,0.0,0.0,-71.0,0.0,143387.0,406.0,4038.0,80.0,16020.0,54.0,7.0,0.0,2.0,2.0,10.0,5.0,3.0,6.0,2.0,10.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,6.0,0.0,2414.0,4.0,5.0,0.0,164200.0,1044580.0,0.0,0.0,-175.6021609098306,83.7635851794692,1625602.0,4828.0,2.0,2.0,246.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,30290.0,24.6,302.9,128320200.0,3090116.0,1.746227237666872,0.0,0.0,0.0,0.0,80.0,178.9972066821156,22.1781397842203,68.9476451173273,5480.0,7.099999999999991,1158136.4957999997,397862.0,0,146921.19585718797,102596.02989029993,0.0
190,0,1253550.0,2277690.0,59702.0,732,297049,117360.0,7995.0,125355.0,0.0,0.0,0.0,-11.0,0.0,22220.0,408.0,4038.0,160.0,5750.0,54.0,7.0,0.0,5.0,2.0,13.0,6.0,2.0,6.0,3.0,10.0,1.0,2.0,5.0,1.0,2.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,6.0,0.0,3002.0,4.0,4.0,0.0,51740.0,542100.0,0.0,0.0,-175.5622280458278,83.75932415087149,1626000.0,0.0,0.0,2.0,208.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21632.0,20.8,216.32,16531250.0,4508740.0,1.4862302188767371,0.0,0.0,0.0,0.0,160.0,107.23805294763599,20.3960780543712,77.4795960416732,5560.0,1.0999999999999999,663012.7821,227769.0,0,84109.80153720597,35212.45140675,inf
201,0,2925740.0,2631950.0,290768.0,3991,2160088,251880.0,40694.0,292574.0,0.0,0.0,0.0,-80.0,0.0,161598.0,15879.0,159501.0,3971.0,290768.0,2133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,2260640.0,723820.0,0.0,0.0,-6935.552794720069,3309.0912805619305,64197824.0,0.0,0.0,0.0,790.0,79.0,0.0,0.0,15800.0,0.0,0.0,0.0,0.0,5.0,79.0,79.0,7900.0,79.0,79.0,1966760364.0,0.0,67.50752395191634,0.0,0.0,0.0,0.0,3971.0,4321.146411120626,249.81993515330177,0.0,363071.0,7.999999999999988,766134.3254999998,263195.0,0,97191.80053292999,82184.57786189999,inf
202,0,124741540.0,97993060.0,1735093.0,28162,11583473,1835252.0,10638902.0,12474154.0,451.0,68.0,26.0,43718.0,385844.0,866580.0,86664.0,866151.0,28162.0,1734217.0,11583.0,607.0,0.0,808.0,434.0,2139.0,1013.0,470.0,1101.0,559.0,2136.0,126.0,452.0,878.0,637.0,66.0,599.0,464.0,858.0,1.0,858.0,945.0,376.0,715.0,718.0,3003.0,0.0,0.0,0.0,847.0,637.0,386920.0,859.0,862.0,0.0,16594020.0,82135500.0,34525857933.0,2886507.0,-37659.585217103755,17965.859627712904,348702135.0,10274.0,6.0,449.0,42498.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,429.0,0.0,4278870.0,4249.800000000006,42788.700000000055,7428436951.0,351824186.0,338.28877142555575,361.0,0.0,11.0,11.0,28162.0,27072.44766659596,4259.777610299599,12870.145810703132,4758562.0,42.90000000000034,28524799.83540001,9799306.0,429,3074426.707118845,3090027.935784901,11865.127162340257
203,0,769180800.0,630372450.0,10396825.0,111808,57836404,11219014.0,65699066.0,76918080.0,2660.0,833.0,380.0,217196.0,2948008.0,4326838.0,434837.0,4324698.0,111808.0,10403075.0,57834.0,7020.0,0.0,4671.0,2294.0,12923.0,6608.0,2419.0,5494.0,2964.0,10629.0,812.0,2503.0,3451.0,2800.0,822.0,3522.0,2949.0,4284.0,2.0,4292.0,5206.0,2128.0,3753.0,3805.0,14994.0,0.0,0.0,0.0,4328.0,52273.0,2946560.0,4298.0,4328.0,0.0,101477680.0,540885260.0,176151783431.0,20583188.0,-188039.0467486906,89716.16485242375,1740779297.0,8498.0,4.0,2648.0,210754.0,2142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,2142.0,0.0,21063076.0,21075.400000000074,210630.7600000012,54366502551.0,4165269228.0,1766.3043998976334,1907.0,0.0,54.0,54.0,111808.0,148027.02806227634,21195.388539490697,79171.05064001156,11508508.0,214.19999999999212,183495116.47050008,63037245.0,2140,20563386.47544763,19541330.970447995,inf
204,0,364437720.0,304574410.0,4562243.0,29537,20008101,5178833.0,31264939.0,36443772.0,1331.0,436.0,332.0,71843.0,1597690.0,1496820.0,151156.0,1496079.0,29537.0,4562243.0,20007.0,3326.0,2.0,1743.0,1097.0,5401.0,2739.0,905.0,1805.0,1082.0,3678.0,378.0,1037.0,1092.0,748.0,431.0,1393.0,1246.0,1478.0,7.0,1483.0,1895.0,950.0,1256.0,1319.0,5183.0,1.0,2.0,2.0,1610.0,51902.0,1579052.0,1483.0,1516.0,1.0,46869450.0,262200830.0,70884542698.0,11971613.0,-65051.27957293296,31041.55827716816,602077474.0,18138.0,6.0,1301.0,69620.0,742.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,41.0,741.0,0.0,6688462.0,6961.999999999979,66884.62000000013,32087379515.0,3467904470.0,640.2398213334409,667.0,0.0,24.0,24.0,29537.0,57291.688410071016,7154.822895255551,34081.64317917295,2564837.0,74.10000000000007,88658565.00689995,30457441.0,741,10307192.956775341,9522057.975778205,14565.845860641442
205,0,1723096900.0,1511989840.0,21517708.0,205563,106951455,23136140.0,149173550.0,172309690.0,5492.0,2617.0,1363.0,418290.0,6695676.0,8001217.0,812132.0,7995240.0,205463.0,21520783.0,106920.0,7929.0,0.0,9439.0,4551.0,26587.0,13619.0,4403.0,10394.0,6061.0,19647.0,1445.0,5234.0,9078.0,5528.0,2586.0,6515.0,5334.0,7917.0,15.0,7920.0,9961.0,4182.0,6872.0,6943.0,27712.0,2.0,4.0,4.0,8355.0,42574.0,6667271.0,7928.0,8044.0,3.0,208601140.0,1335422180.0,400252721627.0,54705154.0,-347466.6209250127,165777.1103839519,3216722542.0,19696.0,8.0,5421.0,406202.0,3960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,3960.0,0.0,42219228.0,40620.20000000062,422192.2799999942,129972609193.0,11574855495.0,3268.6121679583407,3496.0,0.0,130.0,130.0,205463.0,287950.18022973364,40036.777357554514,161832.3647536185,16121963.0,396.10000000002157,440125122.52560014,151198984.0,3959,50811885.6435976,44581675.69392649,inf
206,0,1484008160.0,1250465120.0,17805229.0,88964,59510637,19754724.0,128646092.0,148400816.0,4830.0,1846.0,1885.0,236225.0,6192679.0,4452078.0,453877.0,4445838.0,88804.0,17798348.0,59454.0,4416.0,10.0,4760.0,3580.0,18554.0,9393.0,2788.0,5382.0,3495.0,10902.0,1211.0,3718.0,4580.0,2883.0,1804.0,3953.0,3506.0,4391.0,14.0,4404.0,6305.0,2954.0,3827.0,3917.0,15404.0,3.0,4.0,8.0,5176.0,59109.0,6023128.0,4393.0,4532.0,0.0,178468270.0,1095071550.0,208774464719.0,41716644.0,-193140.7508386253,92164.00614752511,1787466236.0,254730.0,60.0,4653.0,229036.0,2208.0,0.0,0.0,0.0,1055.0,0.0,0.0,0.0,118.0,2202.0,0.0,24419066.0,22903.600000000173,244190.65999999875,166822013320.0,17300618686.0,1921.0448709859002,2009.0,0.0,65.0,65.0,88804.0,195055.59055860294,22381.688570600294,114402.23636218144,6447304.0,220.39999999999176,363997891.7808007,125046512.0,2202,43383315.351312235,39561133.755909584,inf
207,0,8516430.0,6716780.0,81572.0,1210,540020,89293.0,762350.0,851643.0,37.0,16.0,4.0,762.0,34060.0,40400.0,4131.0,40380.0,1210.0,81572.0,540.0,38.0,0.0,40.0,20.0,137.0,67.0,31.0,42.0,20.0,100.0,13.0,24.0,59.0,3.0,15.0,34.0,28.0,40.0,0.0,40.0,57.0,24.0,36.0,38.0,140.0,0.0,0.0,0.0,59.0,0.0,32669.0,40.0,40.0,0.0,807770.0,6178460.0,0.0,0.0,-1755.7172995926667,837.6356820001112,16255200.0,0.0,0.0,34.0,702.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,30788.0,70.2,307.88000000000005,377764512.0,55685225.0,16.191573880383533,19.0,0.0,0.0,0.0,1210.0,1259.0534462436149,112.8748596774221,803.3796818402373,176710.0,2.0000000000000004,1955187.4901999997,671678.0,20,222663.08500677196,219928.09423954997,449.07433320426236
