,pin,address,city,township,classification,landsqft,neighborhood,taxcode,landassessedvalue,buildingassessedvalue,combinedassessedvalue,landassessedvaluepreviousyear,buildingassessedvaluepreviousyear,combinedassessedvaluepreviousyear,marketvalue,marketvaluepreviousyear,description,residencetype,use,exteriorconstruction,fullbaths,halfbaths,basement,attic,centralair,fireplaces,garage,age,buildingsqft,assessmentpass,exemption1year,exemption1owner,exemption1senior,exemption1seniorfreeze,exemption2year,exemption2owner,exemption2senior,exemption2seniorfreeze,exemption3year,exemption3owner,exemption3senior,exemption3seniorfreeze,exemption4year,exemption4owner,exemption4senior,exemption4seniorfreeze
0,16-05-100-013-0000,1234  EDMER AVE,OAK PARK,Oak Park,203,"5,440",10,27001,"$7,208","$28,701","$35,909","$7,208","$28,701","$35,909","$359,090","$359,090","One story residence, any age, 1,000 to 1,800 square feet",1.5 to 1.9 Stories,Single Family,Masonry,1,1,Full and Unfinished,Full and Living Area,No,0,2 car detached,91,"1,534",Assessor Valuation,2019,N/A,N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A,,,,
0,16-05-100-014-0000,1230  EDMER AVE,OAK PARK,Oak Park,203,"5,440",10,27001,"$7,208","$35,306","$42,514","$7,208","$32,752","$39,960","$425,140","$399,600","One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Masonry,1,0,Full and Unfinished,Full and Unfinished,No,0,2 car detached,94,"1,765",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-05-100-015-0000,1226  EDMER AVE,OAK PARK,Oak Park,204,"5,440",10,27001,"$7,208","$45,959","$53,167","$7,208","$44,749","$51,957","$531,670","$519,570","One story residence, any age, 1,801 square feet and over",1.5 to 1.9 Stories,Single Family,Frame/Masonry,2,1,Full and Unfinished,Partial and Living Area,No,0,2 car detached,92,"2,900",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-05-100-016-0000,1222  EDMER AVE,OAK PARK,Oak Park,204,"5,440",10,27001,"$7,208","$36,755","$43,963","$7,208","$36,755","$43,963","$439,630","$439,630","One story residence, any age, 1,801 square feet and over",1.5 to 1.9 Stories,Single Family,Masonry,2,1,Full and Unfinished,Partial and Living Area,Yes,0,2 car detached,94,"1,813",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-05-100-017-0000,1220  EDMER AVE,OAK PARK,Oak Park,204,"5,400",10,27001,"$7,155","$35,673","$42,828","$7,155","$35,673","$42,828","$428,280","$428,280","One story residence, any age, 1,801 square feet and over",1.5 to 1.9 Stories,Single Family,Masonry,2,1,Partial and Rec Room,Partial and Living Area,Yes,0,1.5 car detached,94,"2,191",Assessor Valuation,2020,Yes,Yes,Yes,2019,"Yes | $1,315.70","Yes | $1,052.56","Yes | $1,523.84",2018,"Yes | $1,268.60","Yes | $1,014.88","Yes | $1,442.01",2017,"Yes | $1,219.10",Yes | $975.28,"Yes | $1,652.24"
0,16-05-100-018-0000,1216  EDMER AVE,OAK PARK,Oak Park,204,"5,400",10,27001,"$7,155","$36,307","$43,462","$7,155","$36,307","$43,462","$434,620","$434,620","One story residence, any age, 1,801 square feet and over",1.5 to 1.9 Stories,Single Family,Masonry,1,0,Full and Unfinished,Full and Living Area,Yes,1,2 car detached,94,"2,236",Assessor Valuation,2020,Yes,Yes,N/A,2019,"Yes | $1,315.70","Yes | $1,052.56",N/A,2018,"Yes | $1,268.60","Yes | $1,014.88",N/A,2017,"Yes | $1,219.10",Yes | $975.28,N/A
0,16-05-100-019-0000,1212  EDMER AVE,OAK PARK,Oak Park,204,"5,360",10,27001,"$7,102","$29,023","$36,125","$7,102","$29,023","$36,125","$361,250","$361,250","One story residence, any age, 1,801 square feet and over",1.5 to 1.9 Stories,Single Family,Masonry,2,0,Full and Unfinished,Full and Living Area,No,0,1 car detached,94,"1,806",Assessor Valuation,2020,Yes,Yes,N/A,2019,"Yes | $1,315.70","Yes | $1,052.56",N/A,2018,"Yes | $1,268.60","Yes | $1,014.88",N/A,2017,"Yes | $1,219.10",Yes | $975.28,N/A
0,16-05-100-020-0000,1210  EDMER AVE,OAK PARK,Oak Park,204,"5,360",10,27001,"$7,102","$34,952","$42,054","$7,102","$34,951","$42,053","$420,540","$420,530","One story residence, any age, 1,801 square feet and over",1.5 to 1.9 Stories,Single Family,Masonry,1,1,Full and Rec Room,Full and Living Area,No,0,2 car detached,93,"2,228",Assessor Valuation,2019,Yes,N/A,N/A,2018,"Yes | $1,268.60","Yes | $1,014.88",N/A,2017,"Yes | $1,219.10",Yes | $975.28,N/A,2016,"Yes | $1,005.06",Yes | $717.90,N/A
0,16-05-100-021-0000,1206  EDMER AVE,OAK PARK,Oak Park,204,"5,360",10,27001,"$7,102","$40,503","$47,605","$7,102","$40,502","$47,604","$476,050","$476,040","One story residence, any age, 1,801 square feet and over",1.5 to 1.9 Stories,Single Family,Masonry,2,1,None,Partial and Living Area,No,0,2 car detached,94,"2,881",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-05-100-022-0000,1204  EDMER AVE,OAK PARK,Oak Park,205,"5,320",10,27001,"$7,049","$31,195","$38,244","$7,049","$31,194","$38,243","$382,440","$382,430","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Frame/Masonry,1,1,Partial and Unfinished,None,No,1,2 car detached,94,"2,038",Assessor Valuation,2020,Yes,Yes,N/A,2019,"Yes | $1,315.70","Yes | $1,052.56",N/A,2018,N/A,N/A,N/A,2017,"Yes | $1,219.10",Yes | $975.28,N/A
