taxbill2020,taxbill2019,taxbill2018,taxbill2017,taxbill2016,homeownerexemption,seniorfreezeexemption,seniorcitizenexemption,taxbeforeexemptions,taxafterexemptions,estimatedvalue,assessedvalue,lotsize,buildingsize,class,taxcode,address,city,zip,township,pin
"$13,108.57","$14,061.02","$12,265.33","$12,018.25","$12,106.67",0.00,0.00,0.0,"13,108.57","13,108.57","$359,090","35,909","5,440","1,534",2-03,27001,1234  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-013-0000
"$13,454.89","$13,460.93","$12,954.06","$12,691.81","$13,043.96","1,132.50",0.00,0.0,"14,587.39","13,454.89","$425,140","42,514","5,440","1,765",2-03,27001,1230  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-014-0000
"$17,834.38","$19,192.38","$18,470.69","$18,087.54","$19,884.97","1,132.50",0.00,0.0,"18,966.88","17,834.38","$531,670","53,167","5,440","2,900",2-04,27001,1226  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-015-0000
"$14,916.16","$15,960.76","$15,360.34","$15,045.28","$15,927.76","1,132.50",0.00,0.0,"16,048.66","14,916.16","$439,630","43,963","5,440","1,813",2-04,27001,1222  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-016-0000
"$10,584.80","$12,297.06","$11,856.84","$11,394.20","$14,281.04","1,132.50","3,011.09",906.0,"15,634.39","10,584.80","$428,280","42,828","5,400","2,191",2-04,27001,1220  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-017-0000
"$13,827.26","$15,375.93","$14,795.55","$14,510.34","$16,152.18","1,132.50",0.00,906.0,"15,865.76","13,827.26","$434,620","43,462","5,400","2,236",2-04,27001,1216  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-018-0000
"$11,148.56","$9,376.34","$12,176.28","$11,948.40","$12,791.40","1,132.50",0.00,906.0,"13,187.06","11,148.56","$361,250","36,125","5,360","1,806",2-04,27001,1212  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-019-0000
"$14,218.99","$13,152.26","$12,655.30","$14,671.75","$17,224.72","1,132.50",0.00,0.0,"15,351.49","14,218.99","$420,540","42,054","5,360","2,228",2-04,27001,1210  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-020-0000
"$16,245.37","$17,234.62","$16,586.31","$20,764.69","$18,913.51","1,132.50",0.00,0.0,"17,377.87","16,245.37","$476,050","47,605","5,360","2,881",2-04,27001,1206  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-021-0000
"$11,922.05","$14,827.68","$14,267.82","$14,471.33","$14,214.13","1,132.50",0.00,906.0,"13,960.55","11,922.05","$382,440","38,244","5,320","2,038",2-05,27001,1204  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-022-0000
