,taxbill2020,taxbill2019,taxbill2018,taxbill2017,taxbill2016,homeownerexemption,seniorfreezeexemption,seniorcitizenexemption,taxbeforeexemptions,taxafterexemptions,estimatedvalue,assessedvalue,lotsize,buildingsize,class,taxcode,address,city,zip,township,pin
0,"$2,307.02","$2,653.37","$2,553.69","$2,499.89","$2,470.15",113.25,0.00,0.00,"2,420.27","2,307.02","$66,300","6,630","1,750","2,758",2-06,27001,143 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-029-0000
0,"$18,272.55","$21,534.19","$20,724.99","$20,290.21","$20,193.23","1,019.25",0.00,0.00,"19,291.80","18,272.55","$528,470","52,847","8,750","2,758",2-06,27001,143 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-030-0000
0,$213.36,"$1,038.61","$1,249.06","$3,455.05","$3,407.01","1,132.50",226.50,906.00,"2,478.36",213.36,"$67,900","6,790","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1001
0,"$2,478.36","$3,670.01","$3,532.54","$3,455.05","$3,407.01",0.00,0.00,0.00,"2,478.36","2,478.36","$67,900","6,790","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1002
0,"$2,478.36","$2,354.31","$2,263.94","$2,235.95","$2,401.95",0.00,0.00,0.00,"2,478.36","2,478.36","$67,900","6,790","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1003
0,"$1,345.86","$2,354.31","$2,263.94","$2,235.95","$2,401.95","1,132.50",0.00,0.00,"2,478.36","1,345.86","$67,900","6,790","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1004
0,"$1,345.86","$2,354.31","$2,263.94","$2,235.95","$2,401.95","1,132.50",0.00,0.00,"2,478.36","1,345.86","$67,900","6,790","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1005
0,"$1,345.86","$2,354.31","$2,263.94","$2,235.95","$2,401.95","1,132.50",0.00,0.00,"2,478.36","1,345.86","$67,900","6,790","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1006
0,"$1,345.86","$2,354.31","$2,263.94","$2,235.95","$2,401.95","1,132.50",0.00,0.00,"2,478.36","1,345.86","$67,900","6,790","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1007
0,"$2,478.36","$3,670.01","$3,532.54","$3,455.05","$3,407.01",0.00,0.00,0.00,"2,478.36","2,478.36","$67,900","6,790","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1008
0,"$2,525.81","$2,915.85","$3,599.02","$3,520.03","$3,471.48",0.00,0.00,0.00,"2,525.81","2,525.81","$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1009
0,"$3,318.00","$3,960.39","$3,809.35","$3,751.78","$5,423.02","1,132.50",0.00,0.00,"4,677.00","3,318.00","$128,130","12,813","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1010
0,"$2,525.81","$3,739.09","$2,330.42","$2,300.93","$2,466.42",0.00,0.00,0.00,"2,525.81","2,525.81","$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1011
0,"$2,525.81","$3,739.09","$3,599.02","$3,520.03","$3,471.48",0.00,0.00,0.00,"2,525.81","2,525.81","$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1012
0,"$2,525.81","$3,739.09","$3,599.02","$3,520.03","$3,471.48",0.00,0.00,0.00,"2,525.81","2,525.81","$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1013
0,"$1,393.31","$2,423.39","$1,315.54",$961.69,"$1,710.71","1,132.50",0.00,0.00,"2,525.81","1,393.31","$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1014
0,$487.31,"$1,370.83","$1,315.54","$1,325.65","$1,748.52","1,132.50",0.00,906.00,"2,525.81",487.31,"$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1015
