,taxbill2020,taxbill2019,taxbill2018,taxbill2017,taxbill2016,estimatedvalue,assessedvalue,lotsize,buildingsize,class,taxcode,address,city,zip,township,pin,homeownerexemption,seniorfreezeexemption,seniorcitizenexemption,taxbeforeexemptions,taxafterexemptions
0,$0.00,$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,912 S CUYLER AVE,OAK PARK,00000,OAK PARK,16-17-301-007-0000,,,,,
0,$0.00,$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,914 S CUYLER AVE,OAK PARK,00000,OAK PARK,16-17-301-008-0000,,,,,
0,$0.00,$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,916 S CUYLER AVE,OAK PARK,00000,OAK PARK,16-17-301-009-0000,,,,,
0,$0.00,$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,918 S CUYLER AVE,OAK PARK,00000,OAK PARK,16-17-301-010-0000,,,,,
0,$0.00,$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,920 S CUYLER AVE,OAK PARK,00000,OAK PARK,16-17-301-011-0000,,,,,
0,$0.00,$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,922 S CUYLER AVE,OAK PARK,00000,OAK PARK,16-17-301-012-0000,,,,,
0,$0.00,$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,936  GARFIELD ST,OAK PARK,00000,OAK PARK,16-17-301-013-0000,,,,,
0,"$12,048.33","$10,898.07","$10,487.39","$10,279.21","$9,371.32","$361,080","36,108","3,654","1,140",2-05,27001,913 S HIGHLAND AVE,OAK PARK,60304,OAK PARK,16-17-301-015-0000,"1,132.50",0.00,0.00,"13,180.83","12,048.33"
0,"$12,661.69","$11,101.35","$10,683.01","$10,470.61","$10,452.77","$377,870","37,787","3,780","1,530",2-05,27001,915 S HIGHLAND AVE,OAK PARK,60304,OAK PARK,16-17-301-016-0000,"1,132.50",0.00,0.00,"13,794.19","12,661.69"
0,"$7,032.26","$8,976.36","$9,566.77","$12,190.88","$11,210.30","$223,670","22,367","3,780","1,297",2-03,27001,919 S HIGHLAND AVE,OAK PARK,60304,OAK PARK,16-17-301-017-0000,"1,132.50",0.00,0.00,"8,164.76","7,032.26"
0,$0.00,$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,923 S CUYLER AVE,OAK PARK,00000,OAK PARK,16-17-301-018-0000,,,,,
0,$0.00,$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,925 S CUYLER AVE,OAK PARK,00000,OAK PARK,16-17-301-019-0000,,,,,
0,$0.00,$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,927 S CUYLER AVE,OAK PARK,00000,OAK PARK,16-17-301-020-0000,,,,,
0,$0.00,$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,947  GARFIELD ST,OAK PARK,60304,OAK PARK,16-17-301-021-0000,,,,,
0,$0.00,$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,318  GARFIELD ST,OAK PARK,00000,OAK PARK,16-17-301-022-0000,,,,,
0,$0.00,$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,922  GARFIELD ST,OAK PARK,00000,OAK PARK,16-17-301-023-0000,,,,,
0,"$5,930.90","$7,100.83","$6,830.65","$6,719.92","$7,897.62","$218,310","21,831","2,567","1,242",2-03,27001,908 S HIGHLAND AVE,OAK PARK,60304,OAK PARK,16-17-302-003-0000,"1,132.50",0.00,906.00,"7,969.40","5,930.90"
0,"$7,015.84","$8,391.67","$8,074.89","$7,919.52","$8,117.30","$223,210","22,321","3,150","1,323",2-03,27001,241  HARRISON ST,OAK PARK,60304,OAK PARK,16-17-302-004-0000,"1,132.50",0.00,0.00,"8,148.34","7,015.84"
0,"$14,876.86","$14,385.60","$13,846.39","$13,542.86","$15,144.24",,"40,754","3,125",,5-17,27001,237  HARRISON ST,OAK PARK,60304,OAK PARK,16-17-302-007-0000,0.00,0.00,0.00,"14,876.86","14,876.86"
0,"$17,530.76","$6,932.29","$6,672.46","$6,526.21","$6,303.31",,"48,024","3,150",,3-15,27001,235  HARRISON ST,OAK PARK,60304,OAK PARK,16-17-302-008-0000,0.00,0.00,0.00,"17,530.76","17,530.76"
0,"$17,099.73","$6,779.28","$6,525.17","$6,382.11","$6,165.61",,"46,843","3,150",,3-15,27001,231  HARRISON ST,OAK PARK,60304,OAK PARK,16-17-302-009-0000,0.00,0.00,0.00,"17,099.73","17,099.73"
0,"$17,099.73","$6,779.28","$6,525.17","$6,382.11","$6,165.61",,"46,843","3,150",,3-15,27001,229  HARRISON ST,OAK PARK,60304,OAK PARK,16-17-302-010-0000,0.00,0.00,0.00,"17,099.73","17,099.73"
0,"$37,356.98","$30,617.39","$29,469.70","$28,823.79","$29,534.69",,"102,335","6,300",,3-18,27001,225  HARRISON ST,OAK PARK,60304,OAK PARK,16-17-302-011-0000,0.00,0.00,0.00,"37,356.98","37,356.98"
0,"$17,887.50","$15,921.81","$38,312.48","$15,275.81","$20,345.14",,"49,000","6,300",,7-17,27001,219  HARRISON ST,OAK PARK,60304,OAK PARK,16-17-302-012-0000,0.00,0.00,0.00,"17,887.50","17,887.50"
0,"$46,055.49","$45,326.92","$41,200.96","$40,297.84","$41,698.07",,"126,163","6,300",,5-17,27001,217  HARRISON ST,OAK PARK,60304,OAK PARK,16-17-302-013-0000,0.00,0.00,0.00,"46,055.49","46,055.49"
0,"$19,347.63","$16,545.59","$15,925.37","$15,576.32","$17,735.43",,"157,613","6,300",,5-17,27001,213  HARRISON ST,OAK PARK,60304,OAK PARK,16-17-302-014-0000,0.00,0.00,0.00,"19,347.63","19,347.63"
0,"$6,627.84","$7,252.80","$6,976.92","$6,863.05","$8,074.65","$237,410","23,741","3,153","1,116",2-03,27001,248  FLOURNOY ST,OAK PARK,60304,OAK PARK,16-17-302-015-0000,"1,132.50",0.00,906.00,"8,666.34","6,627.84"
