classification,landsqft,neighborhood,taxcode,landassessedvalue,buildingassessedvalue,combinedassessedvalue,marketvalue,marketvaluepreviousyear,halfbaths,buildingsqft,exemption1year,exemption2year,exemption3year,exemption4year,class,tax_year,nbhd,hd_sf,town_code,type_resd,apts,ext_wall,roof_cnst,rooms,beds,bsmt,bsmt_fin,heat,oheat,air,frpl,attic_type,attic_fnsh,hbath,tp_plan,tp_dsgn,cnst_qlty,renovation,site,gar1_size,gar1_cnst,gar1_att,gar1_area,gar2_size,gar2_cnst,gar2_att,gar2_area,porch,ot_impr,bldg_sf,repair_cnd,multi_code,ncu,pri_est_land,pri_est_bldg,doc_no,most_recent_sale_price,centroid_x,centroid_y,tractce,total_bldg_sf,multi_ind,fbath,age2,use_1,n_units,per_ass,condo_class_factor,multi_family_ind,large_lot,o_hare_noise,floodplain,near_major_road,total_units,condo_strata,age_squared,age_decade,age_decade_squared,lot_size_squared,improvement_size_squared,location_factor,garage_indicator,residential_share_of_building,pure_market_sale,pure_market_filter,neigborhood_code_mapping_,square_root_of_lot_size,square_root_of_age,square_root_of_improvement_size,town_and_neighborhood,multiplier,eavpreviousyear,combinedassessedvalueprevyear,homeownerexemption,estimatedtaxpreviousyear,estimatednewtax,assessmentpersqft
0,0.0,53753,16200644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32261.0,32245.0,32229.0,2016.0,212.0,2019.0,90.0,4281.0,27.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3.0,0.0,3696.0,2.0,2.0,1.0,36380.0,254650.0,1912045057.0,600000.0,-87.7771303066763,41.8884220056971,812500.0,0.0,0.0,3.0,84.0,2.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,1.0,0.0,7056.0,8.4,70.56,18326961.0,13660416.0,0.744048003977045,1.0,0.0,1.0,1.0,90.0,65.4293512118224,9.16515138991168,60.7947366142827,2790.0,0.0,0.0,0.0,0,0.0,0.0,0.0
100,9845158.0,3091,1998118,416027.0,62699.0,478726.0,4787260.0,9123250.0,0.0,0.0,10083.0,10078.0,10073.0,0.0,406.0,4038.0,80.0,16020.0,54.0,7.0,0.0,2.0,2.0,10.0,5.0,3.0,6.0,2.0,10.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,6.0,0.0,2414.0,4.0,5.0,0.0,164200.0,1044580.0,0.0,0.0,-175.6021609098306,83.7635851794692,1625602.0,4828.0,2.0,2.0,246.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,30290.0,24.6,302.9,128320200.0,3090116.0,1.746227237666872,0.0,0.0,0.0,0.0,80.0,178.9972066821156,22.1781397842203,68.9476451173273,5480.0,6.7,2529080.1579,868831.0,0,320839.108831194,134475.0190431,inf
190,59702.0,732,297011,117363.0,8005.0,125368.0,1253680.0,1253550.0,0.0,0.0,4038.0,4036.0,4034.0,0.0,408.0,4038.0,160.0,5750.0,54.0,7.0,0.0,5.0,2.0,13.0,6.0,2.0,6.0,3.0,10.0,1.0,2.0,5.0,1.0,2.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,6.0,0.0,3002.0,4.0,4.0,0.0,51740.0,542100.0,0.0,0.0,-175.5622280458278,83.75932415087149,1626000.0,0.0,0.0,2.0,208.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21632.0,20.8,216.32,16531250.0,4508740.0,1.4862302188767371,0.0,0.0,0.0,0.0,160.0,107.238052947636,20.3960780543712,77.4795960416732,5560.0,1.1,364895.8695,125355.0,0,46290.69000477,35216.103130799995,
201,294518.0,3991,2160080,251908.0,48021.0,299929.0,2999290.0,2926260.0,0.0,0.0,2018.0,2017.0,2016.0,0.0,15879.0,159501.0,3971.0,290768.0,2133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,2260640.0,723820.0,0.0,0.0,-6935.552794720071,3309.091280561931,64197824.0,0.0,0.0,0.0,790.0,79.0,0.0,0.0,15800.0,0.0,0.0,0.0,0.0,5.0,79.0,79.0,7900.0,79.0,79.0,1966760364.0,0.0,67.50752395191634,0.0,0.0,0.0,0.0,3971.0,4321.146411120627,249.81993515330203,0.0,363071.0,8.0,851805.0234,292626.0,0,108059.98526852399,84250.61096865,
202,1734598.0,28162,11583465,1834867.0,9448904.0,11283771.0,112837710.0,111681490.0,70.0,386615.0,866495.0,866066.0,865637.0,730135.0,86666.0,866151.0,28162.0,1733722.0,11583.0,611.0,0.0,805.0,434.0,2142.0,1014.0,470.0,1101.0,559.0,2136.0,127.0,452.0,878.0,637.0,68.0,601.0,464.0,858.0,1.0,858.0,948.0,377.0,717.0,720.0,3003.0,0.0,0.0,0.0,847.0,637.0,388323.0,859.0,862.0,0.0,16595800.0,82302860.0,34525857933.0,2886507.0,-37659.593654093725,17965.871279820436,348701735.0,10274.0,6.0,449.0,42518.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,429.0,0.0,4282966.0,4251.8,42829.66,7424449726.0,355273227.0,338.40761178745663,362.0,0.0,11.0,11.0,28162.0,27068.545887038603,4260.766283900746,12890.389289995497,4758562.0,42.900000000000006,32509364.924099997,11168149.0,429,3579908.6342713255,2755647.14887635,10511.028107661603
203,10395883.0,111378,57728413,11215183.0,57101967.0,68317150.0,683171500.0,678933890.0,836.0,2942010.0,4318379.0,4310190.0,4308055.0,3832159.0,434047.0,4316622.0,111378.0,10395893.0,57726.0,7006.0,2.0,4661.0,2290.0,12902.0,6596.0,2417.0,5480.0,2958.0,10609.0,807.0,2499.0,3444.0,2795.0,821.0,3516.0,2947.0,4276.0,2.0,4284.0,5191.0,2124.0,3742.0,3794.0,14966.0,0.0,0.0,0.0,4318.0,52273.0,2943989.0,4290.0,4320.0,0.0,101435230.0,540203260.0,174231128229.0,20226188.0,-187687.9159411961,89548.74121427356,1737525997.0,14908.0,6.0,2646.0,210350.0,2139.0,0.0,0.0,0.0,422.0,0.0,0.0,0.0,98.0,2138.0,0.0,21021558.0,21035.0,210215.58,54390314789.0,4169515527.0,1763.4992642337631,1902.0,0.0,53.0,53.0,111378.0,147837.94860913462,21155.31160710973,79055.64759079626,11448678.0,213.8,197630866.04009998,67893389.0,2136,22361722.065847084,17129173.8217275,42742.57551132143
204,4564358.0,29717,20062090,5179525.0,27013084.0,32192609.0,321926090.0,320850260.0,435.0,1599782.0,1500760.0,1497999.0,1497256.0,1375554.0,151571.0,1500117.0,29717.0,4564358.0,20061.0,3330.0,-3.0,1738.0,1099.0,5414.0,2745.0,907.0,1807.0,1086.0,3688.0,380.0,1038.0,1098.0,746.0,430.0,1398.0,1248.0,1482.0,7.0,1487.0,1905.0,951.0,1261.0,1324.0,5197.0,1.0,2.0,2.0,1616.0,51902.0,1580751.0,1487.0,1521.0,1.0,46873520.0,262762560.0,70884542698.0,11971613.0,-65226.87514532929,31125.246651869784,603704976.0,18138.0,6.0,1300.0,69889.0,744.0,0.0,0.0,0.0,422.0,0.0,0.0,0.0,42.0,743.0,0.0,6722767.0,6988.9,67227.67,32059657332.0,3467784503.0,641.7842339875205,669.0,0.0,24.0,24.0,29717.0,57375.93135669092,7178.224293685151,34143.30291334413,2570417.0,74.3,93396302.18339999,32085026.0,743,10905685.094986124,8325968.42442665,12586.836470089798
205,21640814.0,206083,107167431,23251748.0,129358349.0,152610097.0,1526100970.0,1518964780.0,2632.0,6714342.0,8016818.0,8012849.0,8004844.0,7339629.0,813569.0,8009373.0,205963.0,21630914.0,107109.0,7952.0,2.0,9449.0,4554.0,26638.0,13640.0,4409.0,10417.0,6068.0,19691.0,1449.0,5242.0,9088.0,5535.0,2589.0,6528.0,5348.0,7931.0,15.0,7934.0,9969.0,4187.0,6881.0,6952.0,27761.0,2.0,4.0,4.0,8373.0,42574.0,6682932.0,7942.0,8060.0,3.0,209614320.0,1339325990.0,402173376829.0,55062154.0,-348081.14030735934,166070.2489533692,3222412346.0,31124.0,10.0,5430.0,407017.0,3968.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,238.0,3967.0,0.0,42315001.0,40701.7,423150.01,133871192492.0,11624985996.0,3274.2055619576313,3501.0,0.0,131.0,131.0,205963.0,288706.4296834968,40112.23812537851,162145.1543829742,16165663.0,396.90000000000003,442155457.8102,151896478.0,3969,51056767.97780197,39038373.57597945,77753.31469349388
206,17765583.0,88874,59537627,19712440.0,109635358.0,129347798.0,1293477980.0,1286475310.0,1847.0,6160615.0,4451754.0,4449550.0,4443310.0,4070165.0,454070.0,4447857.0,88714.0,17749952.0,59481.0,4417.0,10.0,4768.0,3592.0,18551.0,9397.0,2786.0,5389.0,3497.0,10904.0,1209.0,3722.0,4578.0,2893.0,1804.0,3951.0,3502.0,4393.0,14.0,4406.0,6308.0,2956.0,3832.0,3922.0,15411.0,3.0,4.0,8.0,5184.0,59249.0,6019400.0,4394.0,4534.0,0.0,178076550.0,1094343260.0,206860315625.0,41181644.0,-193228.5246108508,92205.973323449,1788276733.0,243302.0,58.0,4658.0,228898.0,2209.0,0.0,0.0,0.0,1055.0,0.0,0.0,0.0,118.0,2203.0,0.0,24390718.0,22889.8,243907.18,163408191238.0,17272091828.0,1922.0127155241303,2011.0,0.0,64.0,64.0,88714.0,195000.80143157096,22375.72905340554,114391.73604441353,6474214.0,220.5,374480097.98789996,128647531.0,2204,44710550.83074499,34207175.7516263,
207,81572.0,1210,540020,89304.0,670849.0,760153.0,7601530.0,7539110.0,16.0,34060.0,40397.0,40377.0,40357.0,34289.0,4131.0,40380.0,1210.0,81572.0,540.0,38.0,0.0,40.0,20.0,137.0,67.0,31.0,42.0,20.0,100.0,13.0,24.0,59.0,3.0,15.0,34.0,28.0,40.0,0.0,40.0,57.0,24.0,36.0,38.0,140.0,0.0,0.0,0.0,59.0,0.0,32669.0,40.0,40.0,0.0,807770.0,6178460.0,0.0,0.0,-1755.7172995926667,837.6356820001112,16255200.0,0.0,0.0,34.0,702.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,30788.0,70.2,307.88,377764512.0,55685225.0,16.191573880383537,19.0,0.0,0.0,0.0,1210.0,1259.0534462436146,112.8748596774221,803.3796818402371,176710.0,2.0,2194559.5299,753911.0,20,253029.821963114,194228.38398304998,395.13977446229484
