Year,Levy,AWI,AWI Fit,CPI,CPI Fit,Levy Fit,CPI Projection,AWI Projection,10k,12.5k,15k,17.5k,20k,25k,CPI 10k,CPI 12.5k,CPI 15k,CPI 17.5k,CPI 20k,CPI 25k,AWI 10k,AWI 12.5k,AWI 15k,AWI 17.5k,AWI 20k,AWI 25k
1999,75429679.5,30469.84,30818.36112126587,166.6,170.84485970787145,83868503.9207863,,,,,,,,,,,,,,,,,,,,
2000,78620765.21000001,32154.82,31716.549370755347,172.2,174.5231136355978,87575116.13738541,,,,,,,,,,,,,,,,,,,,
2001,89256917.67,32921.92,32640.914941236893,177.1,178.2805595974315,91445544.01161468,,,,,,,,,,,,,,,,,,,,
2002,93582323.99,33252.09,33592.22075978613,179.9,182.11890258122273,95487027.46179216,,,,,,,,,,,,,,,,,,,,
2003,98322767.05,34064.95,34571.25198866859,184.0,186.0398842828569,99707126.3781985,,,,,,,,,,,,,,,,,,,,
2004,105219440.69,35648.55,35578.81667337647,188.9,190.04528389656062,104113734.76439895,,,,,,,,,,,,,,,,,,,,
2005,117995366.55,36952.94,36615.74640955,195.3,194.13691892224364,108715095.50356239,,,,,,,,,,,,,,,,,,,,
2006,122178446.88,38651.41,37682.897029335894,201.6,198.31664599020138,113519815.77737153,,,,,,,,,,,,,,,,,,,,
2007,126603159.88,40405.48,38781.1493077517,207.342,202.58636170359497,118536883.16638859,,,,,,,,,,,,,,,,,,,,
2008,132686050.45,41334.97,39911.409689634354,215.303,206.94800349904727,123775682.46197519,,,,,,,,,,,,,,,,,,,,
2009,135135817.71,40711.61,41074.611037776864,214.537,211.40355052579042,129246013.2212406,,,,,,,,,,,,,,,,,,,,
2010,145405555.4,41673.83,42271.713402867405,218.056,215.95502454371754,134958108.09782332,,,,,,,,,,,,,,,,,,,,
2011,150188802.28,42979.61,43503.704815870966,224.939,220.60449084079363,140922651.98281938,,,,,,,,,,,,,,,,,,,,
2012,152132431.23,44321.67,44771.60210350159,229.594,225.3540591701932,147150801.99165455,,,,,,,,,,,,,,,,,,,,
2013,147971179.61,44888.16,46076.45172746309,232.957,230.2058847076397,153654208.3342761,,,,,,,,,,,,,,,,,,,,
2014,150429548.81,46481.52,47419.33064814713,236.736,235.16216902933056,160445036.10773465,,,,,,,,,,,,,,,,,,,,
2015,160987024.12,48098.63,48801.34721350667,237.017,240.22516111094262,167535988.05187944,,,,,,,,,,,,,,,,,,,,
2016,180389756.03,48642.15,50223.64207383204,240.007,245.39715834811972,174940328.31076652,,,,,,,,,,,,,,,,,,,,
2017,180131887.65,50321.89,51687.38912318972,245.12,250.68050759895803,182671907.24420014,,,,,,,,,,,,,,,,,,,,
2018,181577565.59,52145.8,53193.79646829686,251.107,256.07760624890835,190745187.335858,,,,,,,,,,,,,,,,,,,,
2019,201488722.26,54099.99,54744.107425636845,255.657,261.5909032986336,199175270.24641466,,,,,,,,,,,,,,,,,,,,
2020,205748925.0,55628.6,56339.60154763217,258.811,267.2229004752589,207977925.0623075,,,,,,,,,,,,,,,,,,,,
2021,209967707.48,60575.07,57981.59567872449,270.97,272.97615336757633,217169617.79295394,,,,,,,,,,,,,,,,,,,,
2022,218396312.24,63795.13,59671.445042237334,292.655,278.8532725856599,226767542.17164335,226767542.17164335,226767542.17164335,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0
2023,,,61410.54435891096,,284.85692494547766,236789651.8176608,231649799.7010781,233376587.3750118,10441.955208846934,13052.444011058667,15662.932813270401,18273.421615482133,20883.910417693867,26104.888022117335,10215.297898574006,12769.12237321751,15322.94684786101,17876.77132250451,20430.595797148013,25538.24474643502,10291.445818924385,12864.307273655482,15437.168728386578,18010.030183117673,20582.89163784877,25728.614547310965
2024,,,63200.328998038916,,290.9898346789771,247254693.81984752,236637171.2091496,240178250.43754238,10903.442858356562,13629.303572945702,16355.164287534844,19081.025002123984,21806.885716713125,27258.607145891405,10435.23111566098,13044.038894576224,15652.84667349147,18261.654452406714,20870.46223132196,26088.07778915245,10591.385704385697,13239.23213048212,15887.078556578545,18534.92498267497,21182.771408771394,26478.46426096424
2025,,,65042.27616215132,,297.2547846702553,258182243.80440477,241731919.77773234,247178145.12620193,11385.326194918283,14231.657743647855,17077.989292377424,19924.320841106997,22770.652389836567,28463.31548729571,10659.89944869457,13324.874310868212,15989.849173041855,18654.824035215497,21319.79889738914,26649.748621736424,10900.067212401567,13625.08401550196,16350.100818602352,19075.117621702742,21800.134424803135,27250.16803100392
2026,,,66937.90610622974,,303.65461771831065,269592742.5525194,246936357.21237126,254382048.81885356,11888.506616544842,14860.633270681054,17832.759924817263,20804.886578953476,23777.013233089685,29721.266541362107,10889.40484372591,13611.756054657386,16334.107265588864,19056.45847652034,21778.80968745182,27223.51210931477,11217.745113906487,14022.181392383109,16826.61767085973,19631.053949336354,22435.490227812974,28044.362784766217
2027,,,68888.7833924511,,310.1922378270152,281507534.236361,252252845.09130564,261795907.2726209,12413.925359004168,15517.406698755209,18620.88803850625,21724.369378257292,24827.850718008336,31034.813397510417,11123.85144168349,13904.814302104362,16685.777162525235,19466.74002294611,22247.70288336698,27809.628604208723,11544.681605027235,14430.852006284045,17317.022407540855,20203.192808797663,23089.36321005447,28861.70401256809
2028,,,70896.51818150336,,316.8706115228255,293948906.3449027,257683795.83705112,269425839.5312349,12962.565256469063,16203.206570586328,19443.847884703595,22684.489198820862,25925.130512938125,32406.413141172656,11363.3456256278,14204.18203203475,17045.0184384417,19885.85484484865,22726.6912512556,28408.3640640695,11881.146523487165,14851.433154358956,17821.719785230747,20792.00641610254,23762.29304697433,29702.866308717912
2029,,,72962.76756153295,,323.692769200898,306940131.374306,263231673.81108016,277278142.9753921,13535.452579980736,16919.31572497592,20303.178869971103,23687.042014966286,27070.905159961472,33838.63144995184,11607.996069024579,14509.995086280725,17411.99410353687,20313.993120793013,23215.992138049158,29019.99017256145,12227.417571317,15284.271964146252,18341.126356975503,21397.980749804752,24454.835142634,30568.543928292504
2030,,,75089.236915829,,330.6618065001511,320505510.3608097,268898996.43204266,285359298.5203216,14133.65895716305,17667.073696453816,21200.488435744577,24733.90317503534,28267.3179143261,35334.14739290763,11857.91378505613,14822.392231320162,17786.870677584193,20751.349123848224,23715.82757011226,29644.784462640324,12583.780544057288,15729.72568007161,18875.67081608593,22021.615952100256,25167.561088114577,31459.45136014322
2031,,,77277.68133036309,,337.7808857079679,334670418.3376202,274688335.31809056,293675975.964816,14758.303376781485,18447.879220976858,22137.455065172227,25827.0309093676,29516.60675356297,36895.758441953716,12113.212176995565,15141.515221244455,18169.818265493348,21198.121309742237,24226.42435399113,30283.03044248891,12950.529566640042,16188.161958300052,19425.794349960062,22663.42674162007,25901.059133280083,32376.323916600104
2032,,,79529.90704235419,,345.0532371951047,349461351.8007496,280602317.4537662,302235039.49616647,15410.554281892675,19263.192852365843,23115.83142283901,26968.46999331218,30821.10856378535,38526.385704731685,12374.0070896643,15467.508862080373,18561.010634496448,21654.512406912523,24748.0141793286,30935.017724160745,13327.967336145522,16659.959170181904,19991.951004218285,23323.942838254665,26655.934672291045,33319.91834036381
2033,,,81847.7729310481,,352.4821608815312,364905978.27265805,286643626.3820455,311043553.35552686,16091.631755502995,20114.539694378745,24137.447633254495,28160.35557213024,32183.26351100599,40229.07938875749,12640.416861998758,15800.521077498448,18960.62529299814,22120.729508497825,25280.833723997515,31601.042154996896,13716.40537163356,17145.50671454195,20574.60805745034,24003.70940035873,27432.81074326712,34291.0134290839
2034,,,84233.19205195074,,360.0710277337905,381033188.0563568,292815003.42201215,320108787.6684121,16802.80980282212,21003.512253527653,25204.214704233185,29404.917154938714,33605.61960564424,42007.02450705531,12912.562380747446,16140.702975934308,19368.843571121168,22596.98416630803,25825.12476149489,32281.405951868615,14116.16427125702,17645.205339071275,21174.24640688553,24703.287474699784,28232.32854251404,35290.41067814255
2035,,,86688.13321577094,,367.82328129463735,397873148.27686286,299119248.9127822,329438224.4451057,17545.418734384282,21931.773417980352,26318.12810157642,30704.48278517249,35090.837468768565,43863.546835960704,13190.567135325517,16488.208919156896,19785.850702988275,23083.492486819654,26381.134270651033,32976.41783831379,14527.573976867887,18159.46747108486,21791.360965301832,25423.2544595188,29055.147953735774,36318.93494216972
2036,,,89214.62261338059,,375.7424392455679,415457359.3109917,305559223.4841758,339039563.75594556,18320.84765449045,22901.059568113065,27481.27148173568,32061.483395358293,36641.6953089809,45802.11913622613,13474.557273848917,16843.196592311146,20211.835910773374,23580.475229235606,26949.114547697834,33686.39318462229,14950.97404633517,18688.717557918964,22426.461069502755,26164.20458108655,29901.94809267034,37377.43511583793
2037,,,91814.74548813925,,383.8320950030321,433818713.71112025,312137849.3547807,348920730.08660734,19130.547059629775,23913.183824537216,28695.820589444662,33478.457354352104,38261.09411925955,47826.36764907443,13764.661660376396,17205.827075470494,20646.992490564593,24088.157905658692,27529.323320752792,34411.65415094099,15386.713933800307,19233.392417250383,23080.07090070046,26926.74938415054,30773.427867600614,38466.784834500766
2038,,,94490.64785695172,,392.0959193489705,452991557.73311734,318858111.6579278,359089878.87858593,19976.031551739536,24970.03943967442,29964.047327609307,34958.05521554419,39952.06310347907,49940.07887934884,14061.011933382419,17576.264916728025,21091.517900073628,24606.770883419234,28122.023866764837,35152.52983345605,15835.153278099477,19793.941597624347,23752.729917149216,27711.518236674085,31670.306556198953,39587.883195248694
2039,,,97244.53828148892,,400.5376620964982,473011755.58350116,325723059.7962507,369555403.2603113,20858.882671377738,26073.603339222173,31288.324007066607,36503.04467491104,41717.765342755476,52147.206678444345,14363.74256549055,17954.678206863187,21545.613848235826,25136.54948960846,28727.4851309811,35909.356413726375,16296.662199592478,20370.827749490596,24444.993299388716,28519.158849286836,32593.324399184956,40741.65549898119
2040,,,100078.68969102614,,409.1611537914075,493916756.5060973,332735808.8253712,380325940.9744246,21780.751856111983,27225.939820139978,32671.127784167973,38116.31574819597,43561.50371222397,54451.879640279956,14672.99092449126,18341.238655614077,22009.48638673689,25677.734117859705,29345.98184898252,36682.477311228155,16771.621605641907,20964.527007052387,25157.432408462864,29350.33780987334,33543.243211283814,41929.054014104775
2041,,,102995.4412584142,,417.9703074503482,515745664.8335626,339899540.86741376,391410381.5069725,22743.363529653107,28429.204412066385,34115.04529447966,39800.886176892935,45486.72705930621,56858.40882413277,14988.897335675107,18736.121669593882,22483.34600351266,26230.570337431436,29977.794671350213,37472.243339187764,17260.423504996532,21575.529381245666,25890.635257494796,30205.74113374393,34520.847009993064,43151.05876249133
2042,,,105997.20033071788,,426.9691203363843,538539313.1349121,347217506.55491364,402817873.424353,23748.518327516405,29685.647909395506,35622.77749127461,41559.90707315371,47497.03665503281,59371.29581879101,15311.605145506235,19139.506431882794,22967.407718259354,26795.30900463591,30623.21029101247,38279.01286376559,17763.47133133607,22204.33916417009,26645.20699700411,31086.074829838126,35526.94266267214,44408.67832834018
2043,,,109086.44441612647,,436.16167577282596,562340338.5957946,354693026.5058516,414557831.9241099,24798.09646524068,30997.62058155085,37197.14469786102,43396.66881417119,49596.19293048136,61995.2411631017,15641.260786668483,19551.575983335602,23461.891180002724,27372.206376669845,31282.521573336966,39103.151966671205,18281.18027624631,22851.475345307885,27421.77041436946,31992.065483431037,36562.36055249262,45702.95069061577
2044,,,112265.72322876721,,445.5521449960635,587193262.7745106,362329492.83040553,426639946.6057739,25894.061255470868,32367.576569338584,38841.0918832063,45314.607197074016,51788.122510941736,64735.15313867717,15978.013844510144,19972.51730563768,23967.020766765218,27961.52422789275,31956.027689020288,39945.03461127536,18813.9776318978,23517.47203987225,28220.966447846702,32924.46085582115,37627.9552637956,47034.9440797445
