taxbill2023,taxbill2022,taxbill2021,taxbill2020,taxbill2019,estimatedvalue,assessedvalue,lotsize,buildingsize,class,taxcode,address,city,zip,township,pin
"$5,285.98","$6,015.63","$5,895.77",$927.18,"$5,928.54","$195,310","19,531","12,250",,2-99,27001,612 RANDOLPH ST,OAK PARK,60302,OAK PARK,16-07-408-026-1011
"$7,623.53","$8,797.02","$8,572.49","$8,362.95","$8,450.87","$233,860","23,386","12,250",,2-99,27001,612 RANDOLPH ST,OAK PARK,60302,OAK PARK,16-07-408-026-1012
"$20,910.99","$21,175.42","$20,668.60","$20,246.61","$20,600.84","$790,000","79,000","7,164","3,086",2-06,27001,200 WESLEY AVE,OAK PARK,60302,OAK PARK,16-07-408-027-0000
"$2,278.11","$1,820.90","$1,774.46","$1,731.03","$1,675.81","$69,890","6,989","4,992",,2-41,27001,202 WESLEY AVE,OAK PARK,60302,OAK PARK,16-07-408-028-0000
"$22,819.80","$19,746.71","$19,242.70","$18,772.32","$19,682.08","$700,000","70,000","5,362","2,254",2-78,27001,619 PLEASANT AVE,OAK PARK,60302,OAK PARK,16-07-408-029-0000
"$21,526.73","$19,752.35","$19,308.75","$18,986.59","$18,595.58","$720,000","72,000","8,850","2,376",2-06,27001,200 S EAST AVE,OAK PARK,60302,OAK PARK,16-07-409-001-0000
"$23,472.17","$22,122.91","$21,558.26","$21,031.32","$23,036.20","$720,000","72,000","8,850","3,124",2-06,27001,204 S EAST AVE,OAK PARK,60302,OAK PARK,16-07-409-002-0000
"$20,222.63","$18,330.34","$17,923.10","$17,634.72","$17,497.89","$680,000","68,000","8,850","2,592",2-06,27001,208 S EAST AVE,OAK PARK,60302,OAK PARK,16-07-409-003-0000
"$19,558.70","$17,389.28","$17,913.38","$17,558.85","$17,067.26","$680,000","68,000","8,850","2,370",2-06,27001,212 S EAST AVE,OAK PARK,60302,OAK PARK,16-07-409-004-0000
"$20,850.36","$21,067.99","$20,563.80","$20,144.46","$23,654.31","$690,000","69,000","8,850","2,896",2-06,27001,216 S EAST AVE,OAK PARK,60302,OAK PARK,16-07-409-005-0000
