Year,Agency,Detail,Levy,Rate,EAV
2016,Oak Park Township,Oak Park Township,"2,703,974.36",0.1950,"1,386,653,517"
2016,Oak Park Township,General Assistance,"485,328.73",0.0350,"1,386,653,517"
2016,Oak Park Township,Mental Health,"1,497,585.80",0.1080,"1,386,653,517"
2016,Village of Oak Park,Village of Oak Park,"31,296,769.88",2.2570,"1,386,653,517"
2016,Village of Oak Park,Library,"8,971,648.25",0.6470,"1,386,653,517"
2016,Park District,Park District,"9,068,714.00",0.6540,"1,386,653,517"
2016,D200 Total,D200,"66,054,222.23",3.5310,"1,870,694,484"
2016,D200,D200,"48,962,735.69",3.5310,"1,386,653,517"
2016,D97,D97,"77,402,999.32",5.5820,"1,386,653,517"
2015,Oak Park Township,Oak Park Township,"2,655,538.61",0.1990,"1,334,441,513"
2015,Oak Park Township,General Assistance,"480,398.94",0.0360,"1,334,441,513"
2015,Oak Park Township,Mental Health,"1,494,574.49",0.1120,"1,334,441,513"
2015,Village of Oak Park,Village of Oak Park,"27,516,184.00",2.0620,"1,334,441,513"
2015,Village of Oak Park,Library,"10,008,311.35",0.7500,"1,334,441,513"
2015,Park District,Park District,"8,994,135.80",0.6740,"1,334,441,513"
2015,D200 Total,D200,"65,586,065.37",3.6340,"1,804,789,911"
2015,D200,D200,"48,493,604.58",3.6340,"1,334,441,513"
2015,D97,D97,"61,344,276.35",4.5970,"1,334,441,513"
2014,Oak Park Township,Oak Park Township,"2,600,051.04",0.1880,"1,383,005,873"
2014,Oak Park Township,General Assistance,"484,052.06",0.0350,"1,383,005,873"
2014,Oak Park Township,Mental Health,"1,493,646.34",0.1080,"1,383,005,873"
2014,Village of Oak Park,Village of Oak Park,"25,461,138.12",1.8410,"1,383,005,873"
2014,Village of Oak Park,Library,"10,220,413.40",0.7390,"1,383,005,873"
2014,Park District,Park District,"8,837,407.53",0.6390,"1,383,005,873"
2014,D200 Total,D200,"54,719,642.78",2.9240,"1,871,396,812"
2014,D200,D200,"40,439,091.73",2.9240,"1,383,005,873"
2014,D97,D97,"60,893,748.59",4.4030,"1,383,005,873"
2013,Oak Park Township,Oak Park Township,"2,505,665.39",0.1830,"1,369,216,060"
2013,Oak Park Township,General Assistance,"479,225.62",0.0350,"1,369,216,060"
2013,Oak Park Township,Mental Health,"1,492,445.51",0.1090,"1,369,216,060"
2013,Village of Oak Park,Village of Oak Park,"24,632,196.92",1.7990,"1,369,216,060"
2013,Village of Oak Park,Library,"9,789,894.83",0.7150,"1,369,216,060"
2013,Park District,Park District,"8,667,137.66",0.6330,"1,369,216,060"
2013,D200 Total,D200,"54,959,493.44",2.9510,"1,862,402,353"
2013,D200,D200,"40,405,565.93",2.9510,"1,369,216,060"
2013,D97,D97,"59,999,047.75",4.3820,"1,369,216,060"
2012,Oak Park Township,Oak Park Township,"2,411,066.75",0.1640,"1,470,162,652"
2012,Oak Park Township,General Assistance,"470,452.05",0.0320,"1,470,162,652"
