Year,Agency,Detail,Levy,Rate,EAV
2020,Oak Park Township,Oak Park Township,3712488,0.183,2028681978
2020,Oak Park Township,General Assistance,142008,0.007000000076,2028681978
2020,Oak Park Township,Mental Health,1643232,0.08099999989,2028681978
2020,Village of Oak Park,Village of Oak Park,36110539,1.78,2028681978
2020,Village of Oak Park,Library,9757960,0.4809999998,2028681978
2020,Park District,Park District,10792588,0.5319999999,2028681978
2020,D200 Total,D200,73425996,2.751,2669065662
2020,D200,D200,55809041,2.751,2028681978
2020,D97,D97,87781069,4.327,2028681978
2019,Oak Park Township,Oak Park Township,3520340.55,0.208,1692471417
2019,Oak Park Township,General Assistance,152322.43,0.009,1692471417
2019,Oak Park Township,Mental Health,1573998.42,0.093,1692471417
2019,Village of Oak Park,Village of Oak Park,35051083.05,2.071,1692471417
2019,Village of Oak Park,Library,10662569.93,0.630,1692471417
2019,Park District,Park District,10628720.50,0.639,1692471417
2019,D200 Total,D200,73110983.82,3.250,2249568733
2019,D200,D200,55005321.1,3.250,1692471417
2019,D97,D97,84894366.28,5.016,1692471417
2018,Oak Park Township,Oak Park Township,2946136.61,0.185,1592506276
2018,Oak Park Township,General Assistance,509602.01,0.032,1592506276
2018,Oak Park Township,Mental Health,1512880.96,0.095,1592506276
2018,Village of Oak Park,Village of Oak Park,34031859.12,2.137,1592506276
2018,Village of Oak Park,Library,9698363.22,0.609,1592506276
2018,Park District,Park District,9618737.91,0.604,1592506276
2018,D200 Total,D200,62114394.91,2.879,2157498955
2018,D200,D200,45848255.68,2.879,1592506276
2018,D97,D97,77411730.08,4.861,1655776153
2017,Oak Park Township,Oak Park Township,2831377.22, 0.171,1655776153
2017,Oak Park Township,General Assistance,496732.85,0.030,1655776153
2017,Oak Park Township,Mental Health,1506756.30,0.091,1655776153
2017,Village of Oak Park,Village of Oak Park,33049292.01,1.996,1655776153
2017,Village of Oak Park,Library,9355135.26,0.565,1655776153
2017,Park District,Park District,9338577.50,0.564,1655776153
2017,D200 Total,D200,66657009.44,2.973,2242079026
2017,D200,D200,49226225,2.973,1655776153
2017,D97,D97,74327791.51,4.489,1655776153
2016,Oak Park Township,Oak Park Township,2703974.36,0.195,1386653517.00
2016,Oak Park Township,General Assistance,485328.73,0.035,1386653517.00
2016,Oak Park Township,Mental Health,1497585.80,0.108,1386653517.00
