Year,Levy,AWI,AWI Fit,CPI,CPI Fit,Levy Fit,CPI Projection,AWI Projection,10k,12.5k,15k,17.5k,20k,25k,CPI 10k,CPI 12.5k,CPI 15k,CPI 17.5k,CPI 20k,CPI 25k,AWI 10k,AWI 12.5k,AWI 15k,AWI 17.5k,AWI 20k,AWI 25k
1999,75429679.5,30469.84,31306.204593289418,166.6,170.4681460102126,82475912.1933133,,,,,,,,,,,,,,,,,,,,
2000,78620765.21000001,32154.82,32143.61493163469,172.2,174.21523332495187,86341828.75808527,,,,,,,,,,,,,,,,,,,,
2001,89256917.66999999,32921.92,33003.42517708735,177.1,178.04468595938812,90388953.51429556,,,,,,,,,,,,,,,,,,,,
2002,93582323.99,33252.09,33886.234505242755,179.9,181.9583143986566,94625780.2843261,,,,,,,,,,,,,,,,,,,,
2003,98322767.05,34064.95,34792.6581190578,184.0,185.957968924457,99061201.02387758,,,,,,,,,,,,,,,,,,,,
2004,105219440.69,35648.55,35723.327677566485,188.9,190.04554048982013,103704524.48378424,,,,,,,,,,,,,,,,,,,,
2005,117995366.55,36952.94,36678.89173606313,195.3,194.2229616131148,108565495.74656907,,,,,,,,,,,,,,,,,,,,
2006,122178446.88,38651.41,37660.01619806227,201.6,198.49220729170622,113654316.67874141,,,,,,,,,,,,,,,,,,,,
2007,126603159.88,40405.48,38667.38477934587,207.342,202.855295935684,118981667.3417609,,,,,,,,,,,,,,,,,,,,
2008,132686050.45000002,41334.97,39701.6994844232,215.303,207.31429032213524,124558728.40660344,,,,,,,,,,,,,,,,,,,,
2009,135135817.71,40711.61,40763.68109573802,214.537,211.8712985703725,130397204.61897156,,,,,,,,,,,,,,,,,,,,
2010,145405555.4,41673.83,41854.06967595918,218.056,216.52847513861272,136509349.36439592,,,,,,,,,,,,,,,,,,,,
2011,150188802.28,42979.61,42973.62508370683,224.939,221.28802184256486,142907990.384784,,,,,,,,,,,,,,,,,,,,
2012,152132431.23,44321.67,44123.12750307655,229.594,226.1521888963929,149606556.7003876,,,,,,,,,,,,,,,,,,,,
2013,147971179.61,44888.16,45303.37798732506,232.957,231.1232759765747,156619106.79369125,,,,,,,,,,,,,,,,,,,,
